STA_SEQ,Station_Name,Proximity_Landmark,YLat,XLong,Field_Accession,Field_Activity_Date,SampleYr,Pass_Count,Reach_Length,Reach_Length_UOM,OTU,IsStocked,SumOfResult_Value,FishPer100M,Use
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2014003_FISH,6/8/2014,2014,1,163,m,Rhinichthys atratulus,FALSE,19,11.65644172,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2014003_FISH,6/8/2014,2014,1,163,m,Rhinichthys cataractae,FALSE,10,6.134969325,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2014003_FISH,6/8/2014,2014,1,163,m,Salmo,FALSE,1,0.613496933,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2014003_FISH,6/8/2014,2014,1,163,m,Salmo trutta,TRUE,9,5.521472393,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2014003_FISH,6/8/2014,2014,1,163,m,Salmo trutta,FALSE,5,3.067484663,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2014003_FISH,6/8/2014,2014,1,163,m,Salvelinus fontinalis,TRUE,1,0.613496933,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2016048_FISH,7/20/2016,2016,1,125,m,Catostomus commersonii,FALSE,9,7.2,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2016048_FISH,7/20/2016,2016,1,125,m,Lepomis macrochirus,FALSE,3,2.4,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2016048_FISH,7/20/2016,2016,1,125,m,Micropterus salmoides,FALSE,1,0.8,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2016048_FISH,7/20/2016,2016,1,125,m,Rhinichthys atratulus,FALSE,62,49.6,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2016048_FISH,7/20/2016,2016,1,125,m,Rhinichthys cataractae,FALSE,17,13.6,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2016048_FISH,7/20/2016,2016,1,125,m,Salmo trutta,FALSE,22,17.6,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,2016048_FISH,7/20/2016,2016,1,125,m,Salvelinus fontinalis,FALSE,1,0.8,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Catostomus commersonii,FALSE,5,3.703703704,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Lepomis macrochirus,FALSE,1,0.740740741,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Notemigonus crysoleucas,FALSE,1,0.740740741,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Rhinichthys atratulus,FALSE,28,20.74074074,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Rhinichthys cataractae,FALSE,10,7.407407407,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Salmo trutta,TRUE,2,1.481481481,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Salmo trutta,FALSE,1,0.740740741,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Salvelinus fontinalis,TRUE,1,0.740740741,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,25060,6/16/2011,2011,1,135,m,Semotilus atromaculatus,FALSE,2,1.481481481,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,8756,7/26/2006,2006,1,100,m,Catostomus commersonii,FALSE,3,3,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,8756,7/26/2006,2006,1,100,m,Oncorhynchus mykiss,TRUE,1,1,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,8756,7/26/2006,2006,1,100,m,Rhinichthys atratulus,FALSE,48,48,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,8756,7/26/2006,2006,1,100,m,Rhinichthys cataractae,FALSE,23,23,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,8756,7/26/2006,2006,1,100,m,Salmo trutta,TRUE,4,4,1
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471,8756,7/26/2006,2006,1,100,m,Salmo trutta,FALSE,8,8,1
